// Format:							
//							
// 		Note: The order of the tables MUST match the definition in WLAN driver.
//							
//		Power Limit Table Parameter Definition					
//		Band:			2.4G/5G		
//		Bandwidth:		20/40/80/160 MHZ			
//		RF Path:		1/2/3/4 Transmit RF			
//		Rate Section:	CCK/OFDM/HT/VHT				
//		Regulation: 	FCC/ETSI/MKK				
//							
//		Description:					
//		1. IF in 1T test
//		2. power is real dBm.					
//		3. // is for comment.					
//							
// 		NA is non-release channle.					
//							
//							
//Table 1: ===========================================							
//							
##	2.4G, 20M, 1T, CCK, //(1M;2M;5.5M;11M)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	21	9	20	
CH02	25	9	20	
CH03	25	9	20	
CH04	25	9	20	
CH05	25	9	20	
CH06	25	9	20	
CH07	25	9	20	
CH08	25	9	20	
CH09	25	9	20	
CH10	25	9	20	
CH11	19	9	20	
CH12	NA	9	20	
CH13	NA	9	20	
CH14	NA	NA	20	
##	END						
//							
//Table 2: ===========================================							
//							
##	2.4G, 20M, 1T, OFDM, //(6M;9M;12M;18M;24M;36M;48M;54M)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	17	11	20	
CH02	23	11	20	
CH03	23	11	20	
CH04	23	11	20	
CH05	23	11	20	
CH06	23	11	20	
CH07	23	11	20	
CH08	23	11	20	
CH09	23	11	20	
CH10	23	11	20	
CH11	16	11	20	
CH12	NA	11	20	
CH13	NA	11	20	
CH14	NA	NA	NA	
##	END						
//							
//Table 3: ===========================================							
//							
##	2.4G, 20M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	16	11	20	
CH02	21	11	20	
CH03	21	11	20	
CH04	21	11	20	
CH05	21	11	20	
CH06	21	11	20	
CH07	21	11	20	
CH08	21	11	20	
CH09	21	11	20	
CH10	21	11	20	
CH11	17	11	20	
CH12	NA	11	20	
CH13	NA	11	20	
CH14	NA	NA	NA	
##	END						
//							
//Table 4: ===========================================							
//							
##	2.4G, 20M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	16	11	20	
CH02	21	11	20	
CH03	21	11	20	
CH04	21	11	20	
CH05	21	11	20	
CH06	21	11	20	
CH07	21	11	20	
CH08	21	11	20	
CH09	21	11	20	
CH10	21	11	20	
CH11	17	11	20	
CH12	NA	11	20	
CH13	NA	11	20	
CH14	NA	NA	NA	
##	END       						
//							
//Table 5: ===========================================							
//							
##	2.4G, 20M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	16	11	20	
CH02	21	11	20	
CH03	21	11	20	
CH04	21	11	20	
CH05	21	11	20	
CH06	21	11	20	
CH07	21	11	20	
CH08	21	11	20	
CH09	21	11	20	
CH10	21	11	20	
CH11	17	11	20	
CH12	NA	11	20	
CH13	NA	11	20	
CH14	NA	NA	NA	
##	END       						
//							
//Table 6: ===========================================							
//							
##	2.4G, 20M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	20	20	20	
CH02	20	20	20	
CH03	20	20	20	
CH04	20	20	20	
CH05	20	20	20	
CH06	20	20	20	
CH07	20	20	20	
CH08	20	20	20	
CH09	20	20	20	
CH10	20	20	20	
CH11	20	20	20	
CH12	NA	20	20	
CH13	NA	20	20	
CH14	NA	NA	NA	
##	END       						
//                							
//Table 7: ===========================================							
//                							
##	2.4G, 40M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	13	11	20	
CH04	18	11	20	
CH05	18	11	20	
CH06	18	11	20	
CH07	18	11	20	
CH08	18	11	20	
CH09	18	11	20	
CH10	18	11	20	
CH11	16	11	20	
CH12	NA	11	20	
CH13	NA	11	20	
CH14	NA	NA	NA	
##	END						
//							
//Table 8: ===========================================							
//							
##	2.4G, 40M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	13	11	20	
CH04	18	11	20	
CH05	18	11	20	
CH06	18	11	20	
CH07	18	11	20	
CH08	18	11	20	
CH09	18	11	20	
CH10	18	11	20	
CH11	16	11	20	
CH12	NA	11	20	
CH13	NA	11	20	
CH14	NA	NA	NA	
##	END						
//							
//Table 9: ===========================================							
//							
##	2.4G, 40M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	13	11	20	
CH04	18	11	20	
CH05	18	11	20	
CH06	18	11	20	
CH07	18	11	20	
CH08	18	11	20	
CH09	18	11	20	
CH10	18	11	20	
CH11	16	11	20	
CH12	NA	11	20	
CH13	NA	11	20	
CH14	NA	NA	NA	
##	END						
//							
//Table 10: ===========================================							
//							
##	2.4G, 40M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	20	20	20	
CH04	20	20	20	
CH05	20	20	20	
CH06	20	20	20	
CH07	20	20	20	
CH08	20	20	20	
CH09	20	20	20	
CH10	20	20	20	
CH11	20	20	20	
CH12	NA	20	20	
CH13	NA	20	20	
CH14	NA	NA	NA	
##	END						
//							
//Table 11: ===========================================							
//							
##	5G, 20M, 1T, OFDM, //(6M;9M;12M;18M;24M;36M;48M;54M)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	21	13	20	
CH40	21	13	20	
CH44	21	13	20	
CH48	21	13	20	
//5G Band 2       	  						
CH52	23	13	20	
CH56	23	13	20	
CH60	23	13	20	
CH64	23	13	20	
//5G Band 3           							
CH100	23	21	20	
CH104	23	21	20	
CH108	23	21	20	
CH112	23	21	20	
CH116	23	21	20	
CH120	23	21	20	
CH124	23	21	20	
CH128	23	21	20	
CH132	23	21	20	
CH136	23	21	20	
CH140	23	21	20	
//5G Band 4       	  						
CH149	24	23	NA	
CH153	23	22	NA	
CH157	23	22	NA	
CH161	23	22	NA	
CH165	23	22	NA	
##	END						
//							
//Table 12: ======================================							
//							
##	5G, 20M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	18	13	20	
CH40	18	13	20	
CH44	18	13	20	
CH48	18	13	20	
//5G Band 2 				  			 
CH52	23	13	20	
CH56	23	13	20	
CH60	23	13	20	
CH64	23	13	20	
//5G Band 3 				  			 
CH100	23	21	20	
CH104	23	21	20	
CH108	23	21	20	
CH112	23	21	20	
CH116	23	21	20	
CH120	23	21	20	
CH124	23	21	20	
CH128	23	21	20	
CH132	23	21	20	
CH136	23	21	20	
CH140	23	20	20	
//5G Band 4 				  			 
CH149	21	22	NA	
CH153	21	22	NA	
CH157	21	24	NA	
CH161	21	24	NA	
CH165	21	24	NA	
##	END						
//							
//Table 13: ===========================================							
//							
##	5G, 20M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	18	13	20	
CH40	18	13	20	
CH44	18	13	20	
CH48	18	13	20	
//5G Band 2 				  			
CH52	23	13	20	
CH56	23	13	20	
CH60	23	13	20	
CH64	23	13	20	
//5G Band 3 				  			
CH100	23	21	20	
CH104	23	21	20	
CH108	23	21	20	
CH112	23	21	20	
CH116	23	21	20	
CH120	23	21	20	
CH124	23	21	20	
CH128	23	21	20	
CH132	23	21	20	
CH136	23	21	20	
CH140	23	20	20	
//5G Band 4 				  			
CH149	21	22	NA	
CH153	21	22	NA	
CH157	21	24	NA	
CH161	21	24	NA	
CH165	21	24	NA	
##	END                       						
//							
//Table 14: ===========================================							
//							
##	5G, 20M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	18	13	20	
CH40	18	13	20	
CH44	18	13	20	
CH48	18	13	20	
//5G Band 2 				  			
CH52	23	13	20	
CH56	23	13	20	
CH60	23	13	20	
CH64	23	13	20	
//5G Band 3 				  			
CH100	23	21	20	
CH104	23	21	20	
CH108	23	21	20	
CH112	23	21	20	
CH116	23	21	20	
CH120	23	21	20	
CH124	23	21	20	
CH128	23	21	20	
CH132	23	21	20	
CH136	23	21	20	
