//RL6302_MAC_PHY_Parameter_v046_20141008
// Format:							
//							
// 		Note: The order of the tables MUST match the definition in WLAN driver.
//							
//		Power Limit Table Parameter Definition					
//		Band:			2.4G/5G		
//		Bandwidth:		20/40/80/160 MHZ			
//		RF Path:		1/2/3/4 Transmit RF			
//		Rate Section:	CCK/OFDM/HT/VHT				
//		Regulation: 	FCC/ETSI/MKK				
//							
//		Description:					
//		1. IF in 1T test
//		2. power is real dBm.					
//		3. // is for comment.					
//							
// 		NA is non-release channle.					
//							
//							
//Table 1: ===========================================							
//							
##	2.4G, 20M, 1T, CCK, //(1M;2M;5.5M;11M)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	18	16	16	
CH02	18	16	16	
CH03	18	16	16	
CH04	18	16	16	
CH05	18	16	16	
CH06	18	16	16	
CH07	18	16	16	
CH08	18	16	16	
CH09	18	16	16	
CH10	18	16	16	
CH11	18	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	16	
##	END						
//							
//Table 2: ===========================================							
//							
##	2.4G, 20M, 1T, OFDM, //(6M;9M;12M;18M;24M;36M;48M;54M)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	17	16	16	
CH02	18	16	16	
CH03	18	16	16	
CH04	18	16	16	
CH05	18	16	16	
CH06	18	16	16	
CH07	18	16	16	
CH08	18	16	16	
CH09	18	16	16	
CH10	18	16	16	
CH11	16	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	NA	
##	END						
//							
//Table 3: ===========================================							
//							
##	2.4G, 20M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	17	16	16	
CH02	18	16	16	
CH03	18	16	16	
CH04	18	16	16	
CH05	18	16	16	
CH06	18	16	16	
CH07	18	16	16	
CH08	18	16	16	
CH09	18	16	16	
CH10	18	16	16	
CH11	16	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	NA	
##	END						
//							
//Table 4: ===========================================							
//							
##	2.4G, 20M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	16	15	15	
CH02	17	15	15	
CH03	17	15	15	
CH04	17	15	15	
CH05	17	15	15	
CH06	17	15	15	
CH07	17	15	15	
CH08	17	15	15	
CH09	17	15	15	
CH10	17	15	15	
CH11	15	15	15	
CH12	NA	15	15	
CH13	NA	15	15	
CH14	NA	NA	NA	
##	END       						
//							
//Table 5: ===========================================							
//							
##	2.4G, 20M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	15	14	14	
CH02	16	14	14	
CH03	16	14	14	
CH04	16	14	14	
CH05	16	14	14	
CH06	16	14	14	
CH07	16	14	14	
CH08	16	14	14	
CH09	16	14	14	
CH10	16	14	14	
CH11	14	14	14	
CH12	NA	14	14	
CH13	NA	14	14	
CH14	NA	NA	NA	
##	END       						
//							
//Table 6: ===========================================							
//							
##	2.4G, 20M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	14	13	13	
CH02	15	13	13	
CH03	15	13	13	
CH04	15	13	13	
CH05	15	13	13	
CH06	15	13	13	
CH07	15	13	13	
CH08	15	13	13	
CH09	15	13	13	
CH10	15	13	13	
CH11	13	13	13	
CH12	NA	13	13	
CH13	NA	13	13	
CH14	NA	NA	NA	
##	END       						
//                							
//Table 7: ===========================================							
//                							
##	2.4G, 40M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	16	16	16	
CH04	18	16	16	
CH05	18	16	16	
CH06	18	16	16	
CH07	18	16	16	
CH08	18	16	16	
CH09	18	16	16	
CH10	18	16	16	
CH11	16	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	NA	
##	END						
//							
//Table 8: ===========================================							
//							
##	2.4G, 40M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	15	15	15	
CH04	17	15	15	
CH05	17	15	15	
CH06	17	15	15	
CH07	17	15	15	
CH08	17	15	15	
CH09	17	15	15	
CH10	17	15	15	
CH11	15	15	15	
CH12	NA	15	15	
CH13	NA	15	15	
CH14	NA	NA	NA	
##	END						
//							
//Table 9: ===========================================							
//							
##	2.4G, 40M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	14	14	14	
CH04	16	14	14	
CH05	16	14	14	
CH06	16	14	14	
CH07	16	14	14	
CH08	16	14	14	
CH09	16	14	14	
CH10	16	14	14	
CH11	14	14	14	
CH12	NA	14	14	
CH13	NA	14	14	
CH14	NA	NA	NA	
##	END						
//							
//Table 10: ===========================================							
//							
##	2.4G, 40M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	13	13	13	
CH04	15	13	13	
CH05	15	13	13	
CH06	15	13	13	
CH07	15	13	13	
CH08	15	13	13	
CH09	15	13	13	
CH10	15	13	13	
CH11	13	13	13	
CH12	NA	13	13	
CH13	NA	13	13	
CH14	NA	NA	NA	
##	END						
//							
//Table 11: ===========================================							
//							
##	5G, 20M, 1T, OFDM, //(6M;9M;12M;18M;24M;36M;48M;54M)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	22	16	16	
CH40	22	16	16	
CH44	22	16	16	
CH48	22	16	16	
//5G Band 2       	  						
CH52	22	16	16	
CH56	22	16	16	
CH60	22	16	16	
CH64	22	16	16	
//5G Band 3           							
CH100	22	16	16	
CH104	22	16	16	
CH108	22	16	16	
CH112	22	16	16	
CH116	22	16	16	
CH120	22	16	16	
CH124	22	16	16	
CH128	22	16	16	
CH132	22	16	16	
CH136	22	16	16	
CH140	22	16	16	
//5G Band 4       	  						
CH149	22	16	NA	
CH153	22	16	NA	
CH157	22	16	NA	
CH161	22	16	NA	
CH165	22	16	NA	
##	END						
//							
//Table 12: ======================================							
//							
##	5G, 20M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	22	16	16	
CH40	22	16	16	
CH44	22	16	16	
CH48	22	16	16	
//5G Band 2 				  			 
CH52	22	16	16	
CH56	22	16	16	
CH60	22	16	16	
CH64	22	16	16	
//5G Band 3 				  			 
CH100	22	16	16	
CH104	22	16	16	
CH108	22	16	16	
CH112	22	16	16	
CH116	22	16	16	
CH120	22	16	16	
CH124	22	16	16	
CH128	22	16	16	
CH132	22	16	16	
CH136	22	16	16	
CH140	22	16	16	
//5G Band 4 				  			 
CH149	22	16	NA	
CH153	22	16	NA	
CH157	22	16	NA	
CH161	22	16	NA	
CH165	22	16	NA	
##	END						
//							
//Table 13: ===========================================							
//							
##	5G, 20M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	22	15	15	
CH40	22	15	15	
CH44	22	15	15	
CH48	22	15	15	
//5G Band 2 				  			
CH52	22	15	15	
CH56	22	15	15	
CH60	22	15	15	
CH64	22	15	15	
//5G Band 3 				  			
CH100	22	15	15	
CH104	22	15	15	
CH108	22	15	15	
CH112	22	15	15	
CH116	22	15	15	
CH120	22	15	15	
CH124	22	15	15	
CH128	22	15	15	
CH132	22	15	15	
CH136	22	15	15	
CH140	22	15	15	
//5G Band 4 				  			
CH149	22	15	NA	
CH153	22	15	NA	
CH157	22	15	NA	
CH161	22	15	NA	
CH165	22	15	NA	
##	END                       						
//							
//Table 14: ===========================================							
//							
##	5G, 20M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	22	14	14	
CH40	22	14	14	
CH44	22	14	14	
CH48	22	14	14	
//5G Band 2 				  			
CH52	22	14	14	
CH56	22	14	14	
CH60	22	14	14	
CH64	22	14	14	
//5G Band 3 				  			
CH100	22	14	14	
CH104	22	14	14	
CH108	22	14	14	
CH112	22	14	14	
CH116	22	14	14	
CH120	22	14	14	
CH124	22	14	14	
CH128	22	14	14	
CH132	22	14	14	
CH136	22	14	14	
CH140	22	14	14	
//5G Band 4 				  			
CH149	22	14	NA	
CH153	22	14	NA	
CH157	22	14	NA	
CH161	22	14	NA	
CH165	22	14	NA	
##	END                       						
//							
//Table 15: ===========================================							
//							
##	5G, 20M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	22	13	13	
CH40	22	13	13	
CH44	22	13	13	
CH48	22	13	13	
//5G Band 2 				  			
CH52	22	13	13	
CH56	22	13	13	
CH60	22	13	13	
CH64	22	13	13	
//5G Band 3 				  			
CH100	22	13	13	
CH104	22	13	13	
CH108	22	13	13	
CH112	22	13	13	
CH116	22	13	13	
CH120	22	13	13	
CH124	22	13	13	
CH128	22	13	13	
CH132	22	13	13	
CH136	22	13	13	
CH140	22	13	13	
//5G Band 4 				  			
CH149	22	13	NA	
CH153	22	13	NA	
CH157	22	13	NA	
CH161	22	13	NA	
CH165	22	13	NA	
##	END                       						
//                							
//Table 16: ===========================================							
//                							
##	5G, 40M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH38	22	16	16	
CH46	22	16	16	
//5G Band 2       	  						
CH54	22	16	16	
CH62	22	16	16	
//5G Band 3       							
CH102	22	16	16	
CH110	22	16	16	
CH118	22	16	16	
CH126	22	16	16	
CH134	22	16	16	
//5G Band 4         							
CH151	22	16	NA	
CH159	22	16	NA	
##	END       						
//                							
//Table 17: ===========================================							
//							
##	5G, 40M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH38	22	15	15	
CH46	22	15	15	
//5G Band 2       	  						
CH54	22	15	15	
CH62	22	15	15	
//5G Band 3       	  						
CH102	22	15	15	
CH110	22	15	15	
CH118	22	15	15	
CH126	22	15	15	
CH134	22	15	15	
//5G Band 4       	  						
CH151	22	15	NA	
CH159	22	15	NA	
##	END						
//                							
//Table 18: ===========================================							
//							
##	5G, 40M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH38	22	14	14	
CH46	22	14	14	
//5G Band 2       	  						
CH54	22	14	14	
CH62	22	14	14	
//5G Band 3       	  						
CH102	22	14	14	
CH110	22	14	14	
CH118	22	14	14	
CH126	22	14	14	
CH134	22	14	14	
//5G Band 4       	  						
CH151	22	14	NA	
CH159	22	14	NA	
##	END						
//                							
//Table 19: ===========================================							
//							
##	5G, 40M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH38	22	13	13	
CH46	22	13	13	
//5G Band 2       	  						
CH54	22	13	13	
CH62	22	13	13	
//5G Band 3       	  						
CH102	22	13	13	
CH110	22	13	13	
CH118	22	13	13	
CH126	22	13	13	
CH134	22	13	13	
//5G Band 4       	  						
CH151	22	13	NA	
CH159	22	13	NA	
##	END						
//                							
//Table 20: ===========================================							
//							
##	5G, 80M, 1T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH42	22	16	16	
//5G Band 2       	  						
CH58	22	16	16	
//5G Band 3       	  						
CH106	22	16	16	
CH122	22	16	16	
//5G Band 4       	  						
CH155	22	16	NA	
##	END						
//                							
//Table 21: ===========================================							
//							
##	5G, 80M, 2T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1       							
CH42	22	15	15	
//5G Band 2       	  						
CH58	22	15	15	
//5G Band 3       	  						
CH106	22	15	15	
CH122	22	15	15	
//5G Band 4       	  						
CH155	22	15	NA	
##	END						
//                							
//Table 22: ===========================================							
//							
##	5G, 80M, 3T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1       							
CH42	22	14	14	
//5G Band 2       	  						
CH58	22	14	14	
//5G Band 3       	  						
CH106	22	14	14	
CH122	22	14	14	
//5G Band 4       	  						
CH155	22	14	NA	
##	END						
//                							
//Table 23: ===========================================							
//							
##	5G, 80M, 4T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1       							
CH42	22	13	13	
//5G Band 2       	  						
CH58	22	13	13	
//5G Band 3       	  						
CH106	22	13	13	
CH122	22	13	13	
//5G Band 4       	  						
CH155	22	13	NA	
##	END						
