//RL6310_MAC_PHY_RF_Parameter_8881A_Merge_V005_20140717
// Format:							
//							
// 		Note: The order of the tables MUST match the definition in WLAN driver.
//							
//		Power Limit Table Parameter Definition					
//		Band:			2.4G/5G		
//		Bandwidth:		20/40/80/160 MHZ			
//		RF Path:		1/2/3/4 Transmit RF			
//		Rate Section:	CCK/OFDM/HT/VHT				
//		Regulation: 	FCC/ETSI/MKK				
//							
//		Description:					
//		1. IF in 1T test
//		2. power is real dBm.					
//		3. // is for comment.					
//							
// 		NA is non-release channle.					
//							
//							
//Table 1: ===========================================							
//							
##	2.4G, 20M, 1T, CCK, //(1M;2M;5.5M;11M)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	16	17	17	
CH02	22	22	22	
CH03	22	22	22	
CH04	22	22	22	
CH05	22	22	22	
CH06	22	22	22	
CH07	22	22	22	
CH08	22	22	22	
CH09	22	22	22	
CH10	22	22	22	
CH11	17	17	17	
CH12	NA	17	17	
CH13	NA	17	17	
CH14	NA	NA	17	
##	END						
//							
//Table 2: ===========================================							
//							
##	2.4G, 20M, 1T, OFDM, //(6M;9M;12M;18M;24M;36M;48M;54M)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	13	17	17	
CH02	17	17	17	
CH03	17	17	17	
CH04	17	17	17	
CH05	17	17	17	
CH06	17	17	17	
CH07	17	17	17	
CH08	17	17	17	
CH09	17	17	17	
CH10	17	17	17	
CH11	16	17	17	
CH12	NA	17	17	
CH13	NA	17	17	
CH14	NA	NA	NA	
##	END						
//							
//Table 3: ===========================================							
//							
##	2.4G, 20M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	12	17	17	
CH02	17	17	17	
CH03	17	17	17	
CH04	17	17	17	
CH05	17	17	17	
CH06	17	17	17	
CH07	17	17	17	
CH08	17	17	17	
CH09	17	17	17	
CH10	17	17	17	
CH11	15	17	17	
CH12	NA	17	17	
CH13	NA	17	17	
CH14	NA	NA	NA	
##	END						
//							
//Table 4: ===========================================							
//							
##	2.4G, 20M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	12	17	17	
CH02	17	17	17	
CH03	17	17	17	
CH04	17	17	17	
CH05	17	17	17	
CH06	17	17	17	
CH07	17	17	17	
CH08	17	17	17	
CH09	17	17	17	
CH10	17	17	17	
CH11	15	17	17	
CH12	NA	17	17	
CH13	NA	17	17	
CH14	NA	NA	NA	
##	END       						
//                							
//Table 5: ===========================================							
//                							
##	2.4G, 40M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	10	16	16	
CH04	15	16	16	
CH05	15	16	16	
CH06	15	16	16	
CH07	15	16	16	
CH08	15	16	16	
CH09	15	16	16	
CH10	15	16	16	
CH11	11	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	NA	
##	END						
//							
//Table 6: ===========================================							
//							
##	2.4G, 40M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	10	16	16	
CH04	15	16	16	
CH05	15	16	16	
CH06	15	16	16	
CH07	15	16	16	
CH08	15	16	16	
CH09	15	16	16	
CH10	15	16	16	
CH11	11	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	NA	
##	END						
//							
//Table 7: ===========================================							
//							
##	5G, 20M, 1T, OFDM, //(6M;9M;12M;18M;24M;36M;48M;54M)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	17	17	17	
CH40	17	17	17	
CH44	17	17	17	
CH48	17	17	17	
//5G Band 2       	  						
CH52	18	18	18	
CH56	18	18	18	
CH60	18	18	18	
CH64	18	18	18	
//5G Band 3           							
CH100	18	18	18	
CH114	18	18	18	
CH108	18	18	18	
CH112	18	18	18	
CH116	18	18	18	
CH120	18	18	18	
CH124	18	18	18	
CH128	18	18	18	
CH132	18	18	18	
CH136	18	18	18	
CH140	15	18	18	
//5G Band 4       	  						
CH149	18	18	NA	
CH153	18	18	NA	
CH157	18	18	NA	
CH161	18	18	NA	
CH165	18	18	NA	
##	END						
//							
//Table 8: ======================================							
//							
##	5G, 20M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	18	18	18	
CH40	18	18	18	
CH44	18	18	18	
CH48	18	18	18	
//5G Band 2 				  			 
CH52	18	18	18	
CH56	18	18	18	
CH60	18	18	18	
CH64	18	18	18	
//5G Band 3 				  			 
CH100	18	18	18	
CH114	18	18	18	
CH108	18	18	18	
CH112	18	18	18	
CH116	18	18	18	
CH120	18	18	18	
CH124	18	18	18	
CH128	18	18	18	
CH132	18	18	18	
CH136	18	18	18	
CH140	14	18	18	
//5G Band 4 				  			 
CH149	18	18	NA	
CH153	18	18	NA	
CH157	18	18	NA	
CH161	18	18	NA	
CH165	18	18	NA	
##	END						
//							
//Table 9: ===========================================							
//							
##	5G, 20M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	18	18	18	
CH40	18	18	18	
CH44	18	18	18	
CH48	18	18	18	
//5G Band 2 				  			
CH52	18	18	18	
CH56	18	18	18	
CH60	18	18	18	
CH64	18	18	18	
//5G Band 3 				  			
CH100	18	18	18	
CH114	18	18	18	
CH108	18	18	18	
CH112	18	18	18	
CH116	18	18	18	
CH120	18	18	18	
CH124	18	18	18	
CH128	18	18	18	
CH132	18	18	18	
CH136	18	18	18	
CH140	14	18	18	
//5G Band 4 				  			
CH149	18	18	NA	
CH153	18	18	NA	
CH157	18	18	NA	
CH161	18	18	NA	
CH165	18	18	NA	
##	END                       						
//                							
//Table 10: ===========================================							
//                							
##	5G, 40M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH38	16	16	16	
CH46	16	16	16	
//5G Band 2       	  						
CH54	16	16	16	
CH62	16	16	16	
//5G Band 3       							
CH102	14	18	18	
CH110	18	18	18	
CH118	18	18	18	
CH126	18	18	18	
CH134	18	18	18	
//5G Band 4         							
CH151	18	18	NA	
CH159	18	18	NA	
##	END       						
//                							
//Table 11: ===========================================							
//							
##	5G, 40M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH38	16	16	16	
CH46	16	16	16	
//5G Band 2       	  						
CH54	16	16	16	
CH62	16	16	16	
//5G Band 3       	  						
CH102	14	18	18	
CH110	18	18	18	
CH118	18	18	18	
CH126	18	18	18	
CH134	18	18	18	
//5G Band 4       	  						
CH151	18	18	NA	
CH159	18	18	NA	
##	END						
//                							
//Table 12: ===========================================							
//							
##	5G, 80M, 1T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH42	16	16	16	
//5G Band 2       	  						
CH58	16	16	16	
//5G Band 3       	  						
CH106	14	14	14	
CH122	19	19	19	
//5G Band 4       	  						
CH155	16	16	NA	
##	END						
//                							
//Table 13: ===========================================							
//							
##	5G, 80M, 2T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1       							
CH42	14	15	15	
//5G Band 2       	  						
CH58	13	15	15	
//5G Band 3       	  						
CH106	14	15	15	
CH122	16	15	15	
//5G Band 4       	  						
CH155	17	15	NA	
##	END						
