// Format:							
//							
// 		Note: The order of the tables MUST match the definition in WLAN driver.
//							
//		Power Limit Table Parameter Definition					
//		Band:			2.4G/5G		
//		Bandwidth:		20/40/80/160 MHZ			
//		RF Path:		1/2/3/4 Transmit RF			
//		Rate Section:	CCK/OFDM/HT/VHT				
//		Regulation: 	FCC/ETSI/MKK				
//							
//		Description:					
//		1. IF in 1T test
//		2. power is real dBm.					
//		3. // is for comment.					
//							
// 		NA is non-release channle.					
//							
//							
//Table 1: ===========================================							
//							
##	2.4G, 20M, 1T, CCK, //(1M;2M;5.5M;11M)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	23	23	23	
CH02	23	23	23	
CH03	23	23	23	
CH04	23	23	23	
CH05	23	23	23	
CH06	23	23	23	
CH07	23	23	23	
CH08	23	23	23	
CH09	23	23	23	
CH10	23	23	23	
CH11	23	23	23	
CH12	NA	23	23	
CH13	NA	23	23	
CH14	NA	NA	23	
##	END						
//							
//Table 2: ===========================================							
//							
##	2.4G, 20M, 1T, OFDM, //(6M;9M;12M;18M;24M;36M;48M;54M)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	23	23	23	
CH02	23	23	23	
CH03	23	23	23	
CH04	23	23	23	
CH05	23	23	23	
CH06	23	23	23	
CH07	23	23	23	
CH08	23	23	23	
CH09	23	23	23	
CH10	23	23	23	
CH11	23	23	23	
CH12	NA	23	23	
CH13	NA	23	23	
CH14	NA	NA	NA	
##	END						
//							
//Table 3: ===========================================							
//							
##	2.4G, 20M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	23	23	23	
CH02	23	23	23	
CH03	23	23	23	
CH04	23	23	23	
CH05	23	23	23	
CH06	23	23	23	
CH07	23	23	23	
CH08	23	23	23	
CH09	23	23	23	
CH10	23	23	23	
CH11	23	23	23	
CH12	NA	23	23	
CH13	NA	23	23	
CH14	NA	NA	NA	
##	END						
//							
//Table 4: ===========================================							
//							
##	2.4G, 20M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	23	23	23	
CH02	23	23	23	
CH03	23	23	23	
CH04	23	23	23	
CH05	23	23	23	
CH06	23	23	23	
CH07	23	23	23	
CH08	23	23	23	
CH09	23	23	23	
CH10	23	23	23	
CH11	23	23	23	
CH12	NA	23	23	
CH13	NA	23	23	
CH14	NA	NA	NA	
##	END       						
//							
//Table 5: ===========================================							
//							
##	2.4G, 20M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	23	23	23	
CH02	23	23	23	
CH03	23	23	23	
CH04	23	23	23	
CH05	23	23	23	
CH06	23	23	23	
CH07	23	23	23	
CH08	23	23	23	
CH09	23	23	23	
CH10	23	23	23	
CH11	23	23	23	
CH12	NA	23	23	
CH13	NA	23	23	
CH14	NA	NA	NA	
##	END       						
//							
//Table 6: ===========================================							
//							
##	2.4G, 20M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	23	23	23	
CH02	23	23	23	
CH03	23	23	23	
CH04	23	23	23	
CH05	23	23	23	
CH06	23	23	23	
CH07	23	23	23	
CH08	23	23	23	
CH09	23	23	23	
CH10	23	23	23	
CH11	23	23	23	
CH12	NA	23	23	
CH13	NA	23	23	
CH14	NA	NA	NA	
##	END       						
//                							
//Table 7: ===========================================							
