// Format:							
//							
// 		Note: The order of the tables MUST match the definition in WLAN driver.
//							
//		Power Limit Table Parameter Definition					
//		Band:			2.4G/5G		
//		Bandwidth:		20/40/80/160 MHZ			
//		RF Path:		1/2/3/4 Transmit RF			
//		Rate Section:	CCK/OFDM/HT/VHT				
//		Regulation: 	FCC/ETSI/MKK				
//							
//		Description:					
//		1. IF in 1T test
//		2. power is real dBm.					
//		3. // is for comment.					
//							
// 		NA is non-release channle.					
//							
//							
//Table 1: ===========================================							
//							
##	2.4G, 20M, 1T, CCK, //(1M;2M;5.5M;11M)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	22	16	16	
CH02	26	16	16	
CH03	26	16	16	
CH04	26	16	16	
CH05	26	16	16	
CH06	26	16	16	
CH07	26	16	16	
CH08	26	16	16	
CH09	26	16	16	
CH10	26	16	16	
CH11	22	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	16	
##	END						
//							
//Table 2: ===========================================							
//							
##	2.4G, 20M, 1T, OFDM, //(6M;9M;12M;18M;24M;36M;48M;54M)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	19	16	16	
CH02	23	16	16	
CH03	23	16	16	
CH04	23	16	16	
CH05	23	16	16	
CH06	23	16	16	
CH07	23	16	16	
CH08	23	16	16	
CH09	23	16	16	
CH10	23	16	16	
CH11	19	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	NA	
##	END						
//							
//Table 3: ===========================================							
//							
##	2.4G, 20M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	17	16	16	
CH02	23	16	16	
CH03	23	16	16	
CH04	23	16	16	
CH05	23	16	16	
CH06	23	16	16	
CH07	23	16	16	
CH08	23	16	16	
CH09	23	16	16	
CH10	23	16	16	
CH11	17	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	NA	
##	END						
//							
//Table 4: ===========================================							
//							
##	2.4G, 20M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	16	15	15	
CH02	22	15	15	
CH03	22	15	15	
CH04	22	15	15	
CH05	22	15	15	
CH06	22	15	15	
CH07	22	15	15	
CH08	22	15	15	
CH09	22	15	15	
CH10	22	15	15	
CH11	16	15	15	
CH12	NA	15	15	
CH13	NA	15	15	
CH14	NA	NA	NA	
##	END       						
//							
//Table 5: ===========================================							
//							
##	2.4G, 20M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	15	14	14	
CH02	21	14	14	
CH03	21	14	14	
CH04	21	14	14	
CH05	21	14	14	
CH06	21	14	14	
CH07	21	14	14	
CH08	21	14	14	
CH09	21	14	14	
CH10	21	14	14	
CH11	15	14	14	
CH12	NA	14	14	
CH13	NA	14	14	
CH14	NA	NA	NA	
##	END       						
//							
//Table 6: ===========================================							
//							
##	2.4G, 20M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	14	13	13	
CH02	20	13	13	
CH03	20	13	13	
CH04	20	13	13	
CH05	20	13	13	
CH06	20	13	13	
CH07	20	13	13	
CH08	20	13	13	
CH09	20	13	13	
CH10	20	13	13	
CH11	14	13	13	
CH12	NA	13	13	
CH13	NA	13	13	
CH14	NA	NA	NA	
##	END       						
//                							
//Table 7: ===========================================							
//                							
##	2.4G, 40M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	18	16	16	
CH04	20	16	16	
CH05	20	16	16	
CH06	20	16	16	
CH07	20	16	16	
CH08	20	16	16	
CH09	20	16	16	
CH10	20	16	16	
CH11	17	16	16	
CH12	NA	16	16	
CH13	NA	16	16	
CH14	NA	NA	NA	
##	END						
//							
//Table 8: ===========================================							
//							
##	2.4G, 40M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	17	15	15	
CH04	19	15	15	
CH05	19	15	15	
CH06	19	15	15	
CH07	19	15	15	
CH08	19	15	15	
CH09	19	15	15	
CH10	19	15	15	
CH11	16	15	15	
CH12	NA	15	15	
CH13	NA	15	15	
CH14	NA	NA	NA	
##	END						
//							
//Table 9: ===========================================							
//							
##	2.4G, 40M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	16	14	14	
CH04	18	14	14	
CH05	18	14	14	
CH06	18	14	14	
CH07	18	14	14	
CH08	18	14	14	
CH09	18	14	14	
CH10	18	14	14	
CH11	15	14	14	
CH12	NA	14	14	
CH13	NA	14	14	
CH14	NA	NA	NA	
##	END						
//							
//Table 10: ===========================================							
//							
##	2.4G, 40M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	MKK	
CH01	NA	NA	NA	
CH02	NA	NA	NA	
CH03	16	13	13	
CH04	18	13	13	
CH05	18	13	13	
CH06	18	13	13	
CH07	18	13	13	
CH08	18	13	13	
CH09	18	13	13	
CH10	18	13	13	
CH11	15	13	13	
CH12	NA	13	13	
CH13	NA	13	13	
CH14	NA	NA	NA	
##	END						
//							
//Table 11: ===========================================							
//							
##	5G, 20M, 1T, OFDM, //(6M;9M;12M;18M;24M;36M;48M;54M)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	19	16	16	
CH40	19	16	16	
CH44	19	16	16	
CH48	19	16	16	
//5G Band 2       	  						
CH52	19	16	16	
CH56	19	16	16	
CH60	19	16	16	
CH64	19	16	16	
//5G Band 3           							
CH100	18	16	16	
CH104	18	16	16	
CH108	18	16	16	
CH112	18	16	16	
CH116	18	16	16	
CH120	18	16	16	
CH124	18	16	16	
CH128	18	16	16	
CH132	18	16	16	
CH136	18	16	16	
CH140	18	16	16	
//5G Band 4       	  						
CH149	18	16	NA	
CH153	18	16	NA	
CH157	18	16	NA	
CH161	18	16	NA	
CH165	18	16	NA	
##	END						
//							
//Table 12: ======================================							
//							
##	5G, 20M, 1T, HT, //(MCS0~MCS7)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	18	16	16	
CH40	18	16	16	
CH44	18	16	16	
CH48	18	16	16	
//5G Band 2 				  			 
CH52	18	16	16	
CH56	18	16	16	
CH60	18	16	16	
CH64	18	16	16	
//5G Band 3 				  			 
CH100	18	16	16	
CH104	18	16	16	
CH108	18	16	16	
CH112	18	16	16	
CH116	18	16	16	
CH120	18	16	16	
CH124	18	16	16	
CH128	18	16	16	
CH132	18	16	16	
CH136	18	16	16	
CH140	17	16	16	
//5G Band 4 				  			 
CH149	16	16	NA	
CH153	19	16	NA	
CH157	19	16	NA	
CH161	19	16	NA	
CH165	19	16	NA	
##	END						
//							
//Table 13: ===========================================							
//							
##	5G, 20M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	17	15	15	
CH40	17	15	15	
CH44	17	15	15	
CH48	17	15	15	
//5G Band 2 				  			
CH52	17	15	15	
CH56	17	15	15	
CH60	17	15	15	
CH64	17	15	15	
//5G Band 3 				  			
CH100	17	15	15	
CH104	17	15	15	
CH108	17	15	15	
CH112	17	15	15	
CH116	17	15	15	
CH120	17	15	15	
CH124	17	15	15	
CH128	17	15	15	
CH132	17	15	15	
CH136	17	15	15	
CH140	16	15	15	
//5G Band 4 				  			
CH149	15	15	NA	
CH153	18	15	NA	
CH157	18	15	NA	
CH161	18	15	NA	
CH165	18	15	NA	
##	END                       						
//							
//Table 14: ===========================================							
//							
##	5G, 20M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	16	14	14	
CH40	16	14	14	
CH44	16	14	14	
CH48	16	14	14	
//5G Band 2 				  			
CH52	16	14	14	
CH56	16	14	14	
CH60	16	14	14	
CH64	16	14	14	
//5G Band 3 				  			
CH100	16	14	14	
CH104	16	14	14	
CH108	16	14	14	
CH112	16	14	14	
CH116	16	14	14	
CH120	16	14	14	
CH124	16	14	14	
CH128	16	14	14	
CH132	16	14	14	
CH136	16	14	14	
CH140	15	14	14	
//5G Band 4 				  			
CH149	14	14	NA	
CH153	17	14	NA	
CH157	17	14	NA	
CH161	17	14	NA	
CH165	17	14	NA	
##	END                       						
//							
//Table 15: ===========================================							
//							
##	5G, 20M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH36	15	13	13	
CH40	15	13	13	
CH44	15	13	13	
CH48	15	13	13	
//5G Band 2 				  			
CH52	15	13	13	
CH56	15	13	13	
CH60	15	13	13	
CH64	15	13	13	
//5G Band 3 				  			
CH100	15	13	13	
CH104	15	13	13	
CH108	15	13	13	
CH112	15	13	13	
CH116	15	13	13	
CH120	15	13	13	
CH124	15	13	13	
CH128	15	13	13	
CH132	15	13	13	
CH136	15	13	13	
CH140	14	13	13	
//5G Band 4 				  			
CH149	13	13	NA	
CH153	16	13	NA	
CH157	16	13	NA	
CH161	16	13	NA	
CH165	16	13	NA	
##	END                       						
//                							
//Table 16: ===========================================							
//                							
##	5G, 40M, 1T, HT, //(MCS0~MCS7)						
##	START
